ID,QAPP Name,Revision/Release Date,Project Director,Project Sponsor,Year Covered by QAPP,Analysis Name,Equipment Type,Field Methods,Analytical Methods,Holding Time,Method Detection Limit,Reporting Limit
15,"Interstate Sanitation Commission Project Plan for 1994 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/06/94 00:00:00","Howard Golub","Interstate Sanitation Commission",1994,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
16,"Interstate Sanitation Commission Project Plan for 1994 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/06/94 00:00:00","Howard Golub","Interstate Sanitation Commission",1994,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #1002G.1.","14 days","N/A","N/A"
17,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1995,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
18,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1995,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
19,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1995,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
20,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1995,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
21,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1996,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
22,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1996,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
23,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1996,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
24,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1996,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
25,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1997,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
26,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1997,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
27,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1997,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
28,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1997,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
29,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1998,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
30,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1998,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
31,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1998,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
32,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1998,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
33,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1999,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
34,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1999,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
35,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1999,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
36,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",1999,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
37,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2000,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
38,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2000,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
39,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2000,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
40,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2000,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
41,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2001,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
42,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2001,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
43,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2001,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
44,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2001,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
45,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2002,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
46,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2002,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
47,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2002,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
48,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2002,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
49,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2003,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
50,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2003,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
51,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2003,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
52,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2003,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
53,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2004,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
54,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2004,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
55,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2004,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
56,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2004,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
57,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2005,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
58,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2005,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
59,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2005,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
60,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2005,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
61,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2006,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
62,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2006,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
63,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2006,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
64,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2006,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
65,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2007,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
66,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2007,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
67,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2007,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
68,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2007,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
69,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2008,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
70,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2008,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
71,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2008,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
72,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2008,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
73,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2009,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
74,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2009,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
75,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2009,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
76,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2009,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
77,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2010,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
78,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2010,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
79,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2010,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
80,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2010,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
81,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2011,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
82,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2011,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
83,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2011,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
84,"Interstate Sanitation Commission Project Plan for 1995 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/95 00:00:00","Howard Golub","Interstate Sanitation Commission",2011,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #10200 H Fluorometric","14 days","N/A","N/A"
